listing_id,listing_price_usd,square_feet,bedrooms,bathrooms,home_age_years,school_rating,walk_score,mortgage_rate_percent,property_type,market_temperature,sold_within_30_days
listing-0002,813000,2750,4,2.00,87,8,33,6.41,single-family,cool,0
listing-0003,753000,2150,2,3.00,30,5,52,6.28,single-family,cool,0
listing-0004,739000,2050,2,2.00,15,4,87,7.06,condo,cool,0
listing-0005,904000,2920,4,2.50,19,3,69,5.90,condo,hot,1
listing-0006,1154000,3380,5,3.50,81,8,78,6.64,single-family,balanced,1
listing-0007,778000,2800,4,2.00,73,3,58,6.46,single-family,balanced,1
listing-0010,613000,2020,3,3.00,76,6,74,7.89,townhouse,balanced,1
listing-0012,740000,2260,2,1.00,43,4,58,6.02,single-family,cool,0
listing-0013,497000,1340,1,1.50,95,6,90,5.48,townhouse,cool,0
listing-0014,671000,2410,3,3.50,13,5,74,6.59,single-family,cool,1
listing-0015,1099000,2830,4,1.00,24,7,57,8.15,single-family,balanced,0
listing-0016,775000,2880,4,3.50,91,6,46,7.01,single-family,hot,0
listing-0017,926000,2660,3,3.00,15,9,47,5.23,single-family,cool,1
listing-0020,744000,1840,3,1.00,9,5,75,8.11,condo,cool,0
listing-0021,857000,2490,3,2.00,78,8,71,6.62,single-family,balanced,1
listing-0023,924000,2260,2,2.50,13,6,87,7.92,single-family,cool,1
listing-0025,658000,2640,3,3.00,71,1,65,7.51,single-family,hot,1
listing-0028,716000,2200,3,2.50,67,5,75,6.38,condo,balanced,0
listing-0029,655000,2270,3,2.50,13,5,32,7.74,single-family,hot,0
listing-0030,1132000,3600,5,3.00,74,4,64,6.95,single-family,cool,0
listing-0033,829000,2300,3,3.00,88,8,65,5.21,condo,balanced,1
listing-0034,770000,3120,5,3.00,34,6,24,5.25,single-family,hot,1
listing-0035,891000,2430,3,2.50,8,8,73,6.32,single-family,balanced,0
listing-0036,778000,2160,3,1.00,13,7,84,6.01,single-family,balanced,1
listing-0037,526000,1260,2,1.00,10,8,82,5.50,single-family,balanced,0
listing-0038,723000,2210,3,3.00,39,5,62,7.27,single-family,hot,1
listing-0039,806000,2290,3,2.00,29,8,43,6.80,condo,balanced,0
listing-0041,522000,1600,2,2.50,68,6,30,6.45,single-family,hot,0
listing-0042,650000,2290,3,2.50,43,8,32,8.22,single-family,cool,0
listing-0044,783000,2270,3,2.00,74,5,39,5.55,condo,hot,0
listing-0046,1048000,2940,5,2.50,61,10,47,5.83,townhouse,hot,1
listing-0047,821000,2560,4,2.00,77,6,51,7.16,townhouse,balanced,0
listing-0049,612000,1900,2,1.50,36,9,53,8.07,single-family,balanced,1
listing-0051,951000,2650,4,3.50,40,8,44,7.47,condo,cool,0
listing-0052,975000,2470,4,2.50,34,6,98,6.70,single-family,balanced,1
listing-0058,885000,2670,3,2.50,90,8,79,7.84,single-family,balanced,0
listing-0059,739000,1860,2,2.50,67,8,47,8.23,condo,balanced,0
listing-0060,547000,1740,2,2.00,89,5,93,5.66,townhouse,hot,1
listing-0061,595000,2050,3,2.50,60,2,40,8.27,condo,hot,0
listing-0066,950000,2670,4,1.00,51,9,47,6.83,single-family,hot,1
listing-0067,748000,2290,3,1.50,44,5,33,7.82,single-family,hot,0
listing-0069,889000,1930,3,2.00,27,9,68,5.44,condo,hot,1
listing-0070,749000,2320,3,2.50,21,3,66,7.88,townhouse,balanced,0
listing-0071,248000,1100,1,1.00,92,7,12,7.33,single-family,balanced,0
listing-0073,845000,2720,4,2.00,53,6,44,5.95,single-family,balanced,1
listing-0074,874000,2240,3,1.50,5,7,26,5.82,condo,hot,1
listing-0075,604000,1850,2,3.50,51,5,74,6.33,single-family,balanced,0
listing-0076,825000,3450,5,2.00,94,7,7,8.40,single-family,hot,1
listing-0077,855000,2200,3,1.00,33,8,45,7.52,single-family,balanced,1
listing-0078,831000,2070,3,2.00,15,7,61,8.05,single-family,balanced,0
listing-0079,765000,2250,3,3.00,91,5,74,5.90,condo,cool,0
listing-0080,724000,2430,3,3.00,44,6,65,5.97,single-family,balanced,1
listing-0082,633000,1790,2,2.50,69,7,61,7.82,condo,cool,0
listing-0083,791000,2240,2,2.50,64,4,53,6.84,condo,cool,0
listing-0085,747000,2180,3,2.00,61,6,97,5.93,townhouse,cool,1
listing-0086,588000,1510,1,1.50,3,9,53,7.78,single-family,hot,0
listing-0087,993000,3110,4,2.00,40,7,41,7.34,condo,hot,1
listing-0088,685000,1950,2,2.00,24,3,74,8.36,condo,balanced,0
listing-0089,854000,2250,2,3.50,35,7,65,5.61,single-family,balanced,1
listing-0094,552000,1460,2,1.00,64,8,48,8.37,condo,balanced,0
listing-0095,499000,1650,2,1.00,87,8,56,6.32,single-family,balanced,1
listing-0096,552000,2460,4,1.50,85,4,46,5.71,single-family,cool,0
listing-0097,875000,2450,4,2.00,7,9,29,6.74,condo,balanced,0
listing-0099,1092000,2820,4,3.00,1,8,71,8.30,condo,balanced,0
listing-0101,657000,1980,3,2.00,91,7,55,6.97,townhouse,balanced,0
listing-0102,700000,2100,3,1.00,39,7,69,5.26,single-family,cool,0
listing-0103,653000,1990,3,2.00,58,9,52,6.16,townhouse,hot,1
listing-0104,709000,2470,4,2.00,20,5,32,5.26,single-family,hot,0
listing-0105,630000,2110,3,2.00,20,4,42,6.40,condo,balanced,1
listing-0106,943000,2960,4,2.50,27,8,34,7.29,single-family,balanced,0
listing-0107,1130000,3600,5,3.00,89,3,92,8.27,condo,cool,0
listing-0109,713000,2100,3,1.50,24,9,66,6.86,single-family,cool,1
listing-0110,678000,2080,2,2.00,67,9,42,8.28,single-family,cool,0
listing-0111,557000,1810,2,2.50,68,7,74,5.47,single-family,cool,1
listing-0112,637000,1890,2,2.50,32,4,98,5.37,single-family,balanced,0
listing-0113,508000,1630,2,2.00,3,8,17,6.81,townhouse,cool,0
listing-0114,1084000,2970,4,1.50,5,7,44,6.48,condo,balanced,1
listing-0115,846000,2200,2,1.50,8,7,58,5.21,condo,hot,1
listing-0117,1004000,2630,5,1.50,0,5,95,6.34,townhouse,balanced,0
listing-0118,838000,2340,3,1.00,52,7,66,5.71,townhouse,balanced,1
listing-0119,846000,2760,4,3.00,12,7,27,8.00,single-family,hot,1
listing-0120,1030000,2900,4,2.50,57,6,98,7.99,single-family,balanced,0
listing-0121,752000,2720,4,1.00,19,4,59,7.93,townhouse,cool,0
listing-0122,1116000,3020,4,2.00,54,6,61,6.10,condo,balanced,0
listing-0123,669000,1870,2,2.50,15,7,41,7.56,condo,balanced,0
listing-0124,625000,1850,2,3.00,63,5,66,6.79,single-family,balanced,1
listing-0125,851000,2540,3,2.50,91,7,65,6.28,townhouse,cool,0
listing-0128,649000,2590,3,3.50,79,5,30,7.96,single-family,hot,0
listing-0129,986000,2950,4,2.00,63,5,34,7.61,townhouse,balanced,0
listing-0130,1197000,3490,5,1.50,3,7,58,6.50,single-family,balanced,0
listing-0132,702000,2490,3,2.50,0,4,63,6.76,single-family,hot,0
listing-0133,366000,1170,1,1.50,77,7,56,6.53,single-family,hot,1
listing-0138,563000,1990,2,2.50,89,5,59,5.68,single-family,balanced,0
listing-0139,564000,1930,2,3.50,33,8,26,7.52,single-family,cool,0
listing-0140,684000,2760,4,1.50,85,4,32,7.70,townhouse,cool,0
listing-0141,752000,2340,3,1.50,64,8,60,6.13,single-family,balanced,0
listing-0142,758000,2030,2,3.00,95,9,98,7.45,single-family,hot,1
listing-0143,580000,1510,1,1.00,25,6,73,6.19,townhouse,balanced,0
listing-0144,942000,3030,5,1.50,30,4,45,5.23,single-family,balanced,0
listing-0145,815000,2230,3,1.50,74,10,98,6.86,single-family,balanced,1
listing-0146,949000,2520,3,3.00,48,6,98,7.91,single-family,balanced,0
listing-0147,868000,2500,3,2.50,41,7,62,6.28,single-family,cool,1
listing-0148,926000,2840,4,3.00,51,8,38,7.21,single-family,hot,1
listing-0149,867000,2900,4,2.50,42,4,98,5.81,single-family,hot,1
listing-0150,743000,2410,4,1.50,30,6,66,8.33,single-family,hot,0
listing-0151,767000,1810,2,1.50,7,10,84,5.76,townhouse,balanced,1
listing-0152,1107000,3090,5,2.50,90,8,57,8.05,condo,cool,0
listing-0153,424000,1370,1,2.50,78,7,43,8.13,townhouse,balanced,1
listing-0154,875000,3110,5,1.50,67,4,5,6.05,condo,balanced,1
listing-0155,510000,1680,2,2.00,30,6,58,5.34,single-family,hot,1
listing-0157,1081000,2820,4,2.00,64,9,36,7.93,single-family,balanced,0
listing-0158,703000,2070,3,2.50,64,5,72,5.39,condo,balanced,1
listing-0159,641000,2050,2,2.50,59,5,66,6.28,single-family,balanced,0
listing-0161,482000,1440,1,2.50,55,7,53,8.07,single-family,cool,0
listing-0162,716000,2170,3,2.00,27,7,46,5.31,single-family,hot,1
listing-0163,855000,2300,3,3.00,1,5,72,7.80,single-family,balanced,0
